NGAY;BO_SO;SO1;SO2;SO3;SO4;SO5;SO6
21/03/2021;08 09 11 31 36 39;8;9;11;31;36;39
19/03/2021;05 06 24 34 36 37;5;6;24;34;36;37
17/03/2021;06 11 26 28 36 41;6;11;26;28;36;41
14/03/2021;01 09 11 32 34 42;1;9;11;32;34;42
12/03/2021;05 11 17 34 38 42;5;11;17;34;38;42
10/03/2021;05 14 15 19 25 33;5;14;15;19;25;33
07/03/2021;04 12 25 28 33 45;4;12;25;28;33;45
05/03/2021;09 11 13 21 27 41;9;11;13;21;27;41
03/03/2021;01 20 28 37 40 44;1;20;28;37;40;44
28/02/2021;04 05 25 28 29 42;4;5;25;28;29;42
26/02/2021;11 13 19 27 37 41;11;13;19;27;37;41
24/02/2021;02 13 19 33 40 43;2;13;19;33;40;43
21/02/2021;06 07 22 24 27 37;6;7;22;24;27;37
19/02/2021;12 19 22 23 34 44;12;19;22;23;34;44
17/02/2021;03 18 21 22 36 44;3;18;21;22;36;44
14/02/2021;03 13 18 21 39 44;3;13;18;21;39;44
10/02/2021;08 13 18 19 21 24;8;13;18;19;21;24
07/02/2021;01 04 07 15 41 42;1;4;7;15;41;42
05/02/2021;02 08 31 32 42 44;2;8;31;32;42;44
03/02/2021;07 09 14 23 35 41;7;9;14;23;35;41
31/01/2021;04 06 07 11 34 41;4;6;7;11;34;41
29/01/2021;06 07 08 29 35 39;6;7;8;29;35;39
27/01/2021;01 07 11 28 41 44;1;7;11;28;41;44
24/01/2021;08 09 23 25 31 32;8;9;23;25;31;32
22/01/2021;01 06 07 20 28 43;1;6;7;20;28;43
